Cuisine,Recipe,Prep Time (mins),Cooking Time (mins),Servings,Ingredients,Directions
Italian,Caprese Salad with Stale Bread Croutons,10,10,2,"Stale bread, tomatoes, fresh mozzarella cheese, basil, olive oil, balsamic vinegar, salt, pepper","Cube stale bread and toss with olive oil, salt, and pepper. Toast until golden brown. Assemble salad with tomatoes, mozzarella, basil, and croutons. Drizzle with balsamic vinegar."
Italian,Minestrone Soup with Vegetable Scraps,20,40,4,"Vegetable scraps, canned tomatoes, beans, pasta, garlic, herbs, Parmesan rind, salt, pepper","Simmer vegetable scraps with canned tomatoes, beans, pasta, garlic, herbs, and Parmesan rind in vegetable broth. Season with salt and pepper."
Italian,Risotto with Vegetable Trimmings,15,30,2,"Arborio rice, vegetable trimmings, vegetable broth, white wine, garlic, Parmesan cheese, butter, salt, pepper","Sauté vegetable trimmings and garlic in butter. Add Arborio rice and toast. Gradually add vegetable broth and white wine. Finish with Parmesan cheese, salt, and pepper."
Italian,Bruschetta with Tomato and Basil,10,5,4,"Tomatoes, basil, garlic, olive oil, balsamic vinegar, salt, pepper, baguette","Dice tomatoes and chop basil. Mix with minced garlic, olive oil, balsamic vinegar, salt, and pepper. Slice baguette and toast. Top with tomato mixture."
Italian,Pasta Primavera with Seasonal Vegetables,15,15,4,"Pasta, seasonal vegetables (e.g., bell peppers, zucchini, cherry tomatoes), olive oil, garlic, herbs (e.g., basil, parsley), Parmesan cheese, salt, pepper","Cook pasta according to package instructions. Sauté seasonal vegetables and garlic in olive oil. Toss with cooked pasta, herbs, and Parmesan cheese. Season with salt and pepper."
Italian,Tiramisu,20,0,6,"Ladyfinger cookies, espresso coffee, mascarpone cheese, eggs, sugar, cocoa powder","Brew espresso coffee and let it cool. Mix mascarpone cheese with egg yolks and sugar. In a separate bowl, beat egg whites until stiff peaks form. Fold egg whites into mascarpone mixture. Dip ladyfinger cookies into espresso and layer them in a dish. Spread mascarpone mixture over cookies. Repeat layers. Dust top layer with cocoa powder. Chill before serving."
Italian,Gnocchi with Pesto Sauce,30,10,4,"Gnocchi, basil leaves, pine nuts, garlic, Parmesan cheese, olive oil, salt, pepper","Cook gnocchi according to package instructions. In a food processor, blend basil, pine nuts, garlic, Parmesan cheese, olive oil, salt, and pepper until smooth. Toss cooked gnocchi with pesto sauce."
Italian,Panna Cotta with Berry Coulis,15,5,4,"Heavy cream, milk, sugar, gelatin, vanilla extract, mixed berries (e.g., strawberries, raspberries, blueberries), sugar, lemon juice","In a saucepan, heat cream, milk, and sugar until steaming (do not boil). Remove from heat and stir in softened gelatin and vanilla extract. Pour mixture into molds or glasses. Chill until set. In a blender, purée mixed berries with sugar and lemon juice. Strain coulis and serve with panna cotta."
Italian,Spinach and Ricotta Stuffed Shells,25,25,6,"Jumbo pasta shells, spinach, ricotta cheese, Parmesan cheese, egg, garlic, nutmeg, marinara sauce, mozzarella cheese, salt, pepper","Cook pasta shells according to package instructions. In a bowl, mix together spinach, ricotta cheese, Parmesan cheese, egg, minced garlic, nutmeg, salt, and pepper. Stuff cooked shells with spinach and ricotta mixture. Spread marinara sauce in a baking dish, arrange stuffed shells on top, and sprinkle with mozzarella cheese. Bake until cheese is bubbly and golden."
French,Quiche Lorraine,20,40,6,"Pie crust, bacon, onion, Gruyère cheese, eggs, heavy cream, salt, pepper, nutmeg","Preheat oven to 375°F. Line pie crust with parchment paper and fill with pie weights. Bake for 15 minutes, then remove parchment paper and weights and bake for an additional 5 minutes. Cook bacon until crisp, then crumble. Sauté chopped onion until golden. Sprinkle bacon, onion, and shredded Gruyère cheese over prebaked pie crust. In a bowl, whisk together eggs, heavy cream, salt, pepper, and nutmeg. Pour egg mixture over filling. Bake until quiche is set and golden brown."
French,Coq au Vin,20,60,4,"Chicken thighs, bacon, onion, carrots, mushrooms, garlic, red wine, chicken broth, tomato paste, thyme, bay leaf, butter, flour, salt, pepper","Season chicken thighs with salt and pepper. In a Dutch oven, cook bacon until crisp, then remove and set aside. Brown chicken thighs in bacon fat, then remove and set aside. Sauté chopped onion, carrots, mushrooms, and garlic until softened. Deglaze pan with red wine, then add chicken broth, tomato paste, thyme, bay leaf, and reserved bacon and chicken. Cover and simmer until chicken is cooked through. In a small saucepan, make a roux with butter and flour. Whisk roux into simmering sauce to thicken. Serve chicken and sauce hot."
French,Ratatouille,20,40,6,"Eggplant, zucchini, bell peppers, onion, garlic, tomatoes, olive oil, thyme, basil, salt, pepper","Preheat oven to 375°F. Slice eggplant, zucchini, and bell peppers thinly. Sauté chopped onion and minced garlic in olive oil until softened. Layer sliced vegetables in a baking dish, alternating colors. Drizzle with olive oil and sprinkle with fresh thyme, basil, salt, and pepper. Cover with foil and bake until vegetables are tender."
